0,30519,31655,24261,-1136,31087.0
0,30519,31655,24261,-1136,31087.0
1,30359,31639,24149,-1280,30999.0
1,30359,31639,24149,-1280,30999.0
2,30391,31623,24229,-1232,31007.0
3,30391,31639,24197,-1248,31015.0
4,30455,31671,24165,-1216,31063.0
4,30455,31671,24165,-1216,31063.0
5,30359,31703,24229,-1344,31031.0
6,30375,31591,24213,-1216,30983.0
7,30423,31703,24213,-1280,31063.0
8,30343,31639,24213,-1296,30991.0
9,30407,31623,24197,-1216,31015.0
10,30375,31655,24117,-1280,31015.0
11,30407,31655,24197,-1248,31031.0
12,30343,31671,24213,-1328,31007.0
13,30359,31639,24245,-1280,30999.0
14,30359,31639,24197,-1280,30999.0
15,30391,31703,24197,-1312,31047.0
16,30439,31799,24197,-1360,31119.0
17,30359,31687,24165,-1328,31023.0
18,30375,31623,24165,-1248,30999.0
19,30439,31703,24213,-1264,31071.0
20,30407,31719,24197,-1312,31063.0
21,30471,31671,24277,-1200,31071.0
22,30631,31703,24181,-1072,31167.0
23,30503,31639,24261,-1136,31071.0
24,30519,31671,24229,-1152,31095.0
25,30535,31591,24229,-1056,31063.0
26,30567,31655,24229,-1088,31111.0
27,30503,31623,24197,-1120,31063.0
28,30519,31703,24213,-1184,31111.0
29,30487,31639,24213,-1152,31063.0
30,30439,31655,24229,-1216,31047.0
31,30439,31671,24213,-1232,31055.0
32,30487,31623,24245,-1136,31055.0
33,30487,31687,24229,-1200,31087.0
34,30551,31559,24229,-1008,31055.0
35,30471,31623,24245,-1152,31047.0
36,30503,31591,24085,-1088,31047.0
37,30487,31623,24165,-1136,31055.0
38,30487,31671,24229,-1184,31079.0
38,30487,31671,24229,-1184,31079.0
39,30471,31703,24213,-1232,31087.0
40,30391,31687,24133,-1296,31039.0
41,30519,31575,24261,-1056,31047.0
42,30487,31655,24213,-1168,31071.0
43,30487,31655,24325,-1168,31071.0
44,30487,31623,24181,-1136,31055.0
45,30471,31703,24229,-1232,31087.0
46,30503,31639,24229,-1136,31071.0
47,30503,31671,24197,-1168,31087.0
48,30535,31655,24229,-1120,31095.0
49,30487,31671,24165,-1184,31079.0
50,30503,31671,24197,-1168,31087.0
51,30375,31687,24197,-1312,31031.0
52,30503,31575,24245,-1072,31039.0
53,30503,31703,24197,-1200,31103.0
54,30407,31671,24133,-1264,31039.0
55,30471,31655,24117,-1184,31063.0
56,30439,31655,24213,-1216,31047.0
57,30503,31623,24229,-1120,31063.0
58,30391,31591,24229,-1200,30991.0
59,30487,31591,24213,-1104,31039.0
60,30423,31623,24341,-1200,31023.0
61,30487,31639,24229,-1152,31063.0
62,30407,31655,24245,-1248,31031.0
63,30407,31639,24261,-1232,31023.0
64,30391,31703,24197,-1312,31047.0
65,30423,31575,24261,-1152,30999.0
66,30503,31687,24229,-1184,31095.0
67,30487,31623,24197,-1136,31055.0
68,30471,31623,24229,-1152,31047.0
69,30375,31639,24245,-1264,31007.0
70,30439,31655,24261,-1216,31047.0
71,30487,31751,24245,-1264,31119.0
72,30135,32776,24229,-2641,31455.5
73,30263,32359,24229,-2096,31311.0
